areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
4,600.0,35,Ready to Move,Resale,1,1,2667.0,1600000.0
1,1080.0,30,Ready to Move,1 out of 1,Unfurnished,Main Road,,3900000.0
1,1200.0,30,Ready to Move,Ground out of 3,Unfurnished,West,2160.0,2700000.0
4,1200.0,30,Ready to Move,3 out of 5,Unfurnished,East,2917.0,3500000.0
0,1318.0,38,Resale,,,,1669.0,2200000.0
4,660.0,30,Ready to Move,5 out of 5,Unfurnished,Main Road,3030.0,2000000.0
1,580.0,30,Ready to Move,1 out of 5,Furnished,East,2436.0,1900000.0
4,1165.0,38,Ready to Move,Resale,,,2704.0,3150000.0
4,850.0,30,Ready to Move,1 out of 4,Unfurnished,1,1000.0,850000.0
4,861.0,30,Ready to Move,4 out of 4,Unfurnished,East,1220.0,1050000.0
4,440.0,30,Ready to Move,Ground out of 1,Unfurnished,1,2500.0,1100000.0
0,1978.0,38,New Property,,,,1618.0,3200000.0
4,1000.0,38,Resale,,,,4500.0,4500000.0
4,775.0,30,Ready to Move,2 out of 5,Semi-Furnished,1,2129.0,1650000.0
4,1050.0,30,Ready to Move,3 out of 10,Unfurnished,2,2857.0,3000000.0
4,925.0,30,Ready to Move,3 out of 4,Unfurnished,1,2378.0,2200000.0
1,500.0,35,Ready to Move,4 out of 8,1,,,1600000.0
2,945.0,38,Co-operative Society,New Property,,,4233.0,4000000.0
4,261.0,30,Ready to Move,3 out of 4,,,6513.0,1700000.0
4,1170.0,23,Ready to Move,4 out of 4,Unfurnished,South -West,3248.0,3800000.0
1,1075.0,30,Ready to Move,1 out of 5,Semi-Furnished,"Garden/Park, Main Road",,3150000.0
4,650.0,38,Ready to Move,Resale,,,2154.0,1400000.0
1,490.0,35,Ready to Move,Resale,Main Road,Freehold,3600.0,1800000.0
1,797.0,31,Ready to Move,Resale,3,1,,5000000.0
4,456.0,30,Ready to Move,3 out of 4,1,,3947.0,1800000.0
1,750.0,30,Ready to Move,2 out of 4,Unfurnished,2,,2000000.0
4,525.0,38,Ready to Move,Resale,,,6667.0,3500000.0
