areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
4,1512.0,30,Ready to Move,Ground out of 2,Semi-Furnished,3,3968.0,6000000.0
1,475.0,23,Ready to Move,Ground out of 6,,,8500.0,6050000.0
1,1500.0,30,Ready to Move,Ground out of 1,Unfurnished,West,10000.0,7500000.0
1,750.0,23,Ready to Move,1 out of 2,1,,6667.0,5000000.0
1,1812.0,23,Ready to Move,2 out of 13,Semi-Furnished,North,3587.0,6500000.0
4,1650.0,23,Ready to Move,3 out of 12,Unfurnished,South -West,5000.0,8250000.0
4,1540.0,30,Ready to Move,Ground out of 2,Furnished,3,3571.0,5500000.0
1,,15,Ground out of 1,Resale,2,,1.0,5000000.0
4,1700.0,30,Ready to Move,6 out of 12,Semi-Furnished,Nandini 1,4453.0,7570000.0
1,1050.0,30,Ready to Move,1 out of 4,Unfurnished,Soham Residency,,6000000.0
1,900.0,23,Ready to Move,10 out of 10,Unfurnished,North,5455.0,6000000.0
4,2200.0,30,Ready to Move,Ground out of 3,Furnished,West,4091.0,9000000.0
1,1500.0,30,Ready to Move,6 out of 9,Unfurnished,3,,6800000.0
4,1851.0,15,9 out of 11,Resale,1 Covered,3,4592.0,8500000.0
1,1060.0,23,Ready to Move,3 out of 9,Furnished,East,4800.0,6000000.0
1,1200.0,30,Ready to Move,3 out of 5,Semi-Furnished,East,3937.0,6500000.0
4,1800.0,30,Ready to Move,Ground out of 1,Furnished,West,3778.0,6800000.0
1,1056.0,30,Ready to Move,7 out of 10,Semi-Furnished,East,4185.0,6800000.0
4,1260.0,30,Ready to Move,9 out of 9,Furnished,Freehold,3968.0,5000000.0
1,1900.0,30,Ready to Move,2 out of 10,Furnished,North - East,4381.0,9200000.0
4,1350.0,30,Ready to Move,Ground out of 2,Furnished,3,4444.0,6000000.0
1,800.0,31,Ready to Move,Resale,South,"Pool, Garden/Park, Main Road",4789.0,5100000.0
1,702.0,30,Ready to Move,2 out of 2,Unfurnished,East,,8500000.0
4,432.0,30,Ready to Move,2 out of 2,Furnished,2,11574.0,5000000.0
1,934.0,30,Ready to Move,7 out of 12,Furnished,East,4380.0,6000000.0
4,2375.0,23,Ready to Move,Ground out of 2,Semi-Furnished,3,3832.0,9100000.0
1,1080.0,30,Ready to Move,1 out of 2,Unfurnished,East,10802.0,7000000.0
1,800.0,31,Ready to Move,Resale,Freehold,3,,9400000.0
1,1374.0,30,Ready to Move,4 out of 5,Semi-Furnished,South,4106.0,8500000.0
4,1525.0,30,Ready to Move,4 out of 9,Semi-Furnished,1 Covered,4262.0,6500000.0
4,1600.0,30,Ready to Move,2 out of 5,Furnished,South -West,4062.0,6500000.0
4,1651.0,30,Ready to Move,7 out of 7,Furnished,3,3695.0,6100000.0
1,750.0,31,Ready to Move,Resale,3,2,8025.0,6500000.0
1,990.0,35,Ready to Move,Resale,Garden/Park,3,4048.0,8500000.0
4,837.0,30,Ready to Move,Ground out of 2,Furnished,3,10275.0,8600000.0
1,960.0,30,Ready to Move,1 out of 3,Semi-Furnished,2,4167.0,5000000.0
1,1976.0,30,Ready to Move,2 out of 10,Semi-Furnished,3,4040.0,9200000.0
1,1450.0,31,Ready to Move,Resale,East,Main Road,5310.0,7700000.0
4,600.0,30,Ready to Move,Ground out of 3,,,10000.0,6000000.0
4,1764.0,30,Ready to Move,Ground out of 3,Semi-Furnished,4,3118.0,5500000.0
1,2536.0,30,Ready to Move,12 out of 13,Unfurnished,Main Road,,7600000.0
4,1230.0,23,Ready to Move,13 out of 13,Semi-Furnished,South -West,4146.0,5100000.0
4,1150.0,30,Ready to Move,2 out of 4,Unfurnished,2,5217.0,6000000.0
2,1278.0,24,Resale,3,,,6260.0,8000000.0
0,11070.0,38,New Property,,,,813.0,9000000.0
4,1300.0,30,Ready to Move,2 out of 5,Unfurnished,3,4615.0,6000000.0
4,1600.0,30,Ready to Move,7 out of 10,Semi-Furnished,3,6250.0,10000000.0
4,1688.0,30,Ready to Move,1 out of 5,Semi-Furnished,Garden/Park,,
1,1429.0,30,Ready to Move,1 out of 12,Semi-Furnished,"Pool, Garden/Park",,
1,792.0,31,Ready to Move,Resale,East,Main Road,,
1,721.0,30,Poss. by Dec '24,9 out of 14,Unfurnished,East,,
2,3015.0,20,Freehold,Resale,,,,
4,2063.0,35,Poss. by Feb '26,New Property,Sangini Epitome,3,4750.0,9800000.0
4,1322.0,33,New Property,Unfurnished,2,2,4250.0,5620000.0
4,2097.0,35,Poss. by Dec '26,New Property,Sangini Epitome,3,4750.0,9960000.0
4,1351.0,23,Poss. by Apr '26,6 out of 14,Unfurnished,East,4351.0,5880000.0
1,1170.0,30,Ready to Move,4 out of 10,Unfurnished,West,4180.0,7900000.0
1,1512.0,23,Poss. by Dec '25,Ground out of 2,Unfurnished,East,3915.0,5920000.0
4,1861.0,23,Ready to Move,6 out of 14,Unfurnished,East,4299.0,8000000.0
1,2142.0,35,Poss. by Dec '24,Resale,East,"Garden/Park, Main Road",3315.0,7100000.0
4,1751.0,23,Poss. by Apr '25,6 out of 13,Unfurnished,East,4251.0,7440000.000000001
4,1382.0,23,Poss. by Dec '28,5 out of 11,1,,7200.0,9950000.0
1,900.0,23,Poss. by Dec '25,3 out of 14,Unfurnished,East,3450.0,5610000.0
1,697.0,23,Poss. by May '25,6 out of 14,Unfurnished,East,4291.0,5450000.0
4,2097.0,23,Poss. by Dec '26,7 out of 13,Unfurnished,East,4751.0,9960000.0
4,2041.0,23,Poss. by Dec '24,5 out of 13,Unfurnished,East,4250.0,8670000.0
1,950.0,30,Ready to Move,9 out of 12,Unfurnished,South -West,4123.0,5450000.0
1,1800.0,23,Poss. by Jan '26,Ground out of 2,Unfurnished,North - East,,5310000.0
1,225.0,30,Ready to Move,Ground out of 7,1,,25778.0,5800000.0
1,85.0,30,Ready to Move,Ground out of 2,Unfurnished,East,8529.0,8700000.0
4,1820.0,30,Ready to Move,1 out of 8,Furnished,3,4121.0,7500000.0
4,1994.0,23,Ready to Move,10 out of 14,Unfurnished,East,4554.0,9080000.0
1,700.0,35,Ready to Move,New Property,East,Main Road,4300.0,5200000.0
4,1598.0,23,Ready to Move,6 out of 14,Unfurnished,South -West,3317.0,5300000.0
4,1518.0,30,Ready to Move,5 out of 13,Semi-Furnished,North - East,3623.0,5500000.0
4,1800.0,30,Ready to Move,8 out of 12,Unfurnished,East,3333.0,6000000.0
4,2400.0,30,Ready to Move,Ground out of 2,Unfurnished,East,2708.0,6500000.0
1,2100.0,15,Poss. by Dec '25,New Property,East,Freehold,2406.0,5050000.0
4,1400.0,23,Poss. by Apr '25,5 out of 12,Unfurnished,South -West,4500.0,6300000.0
1,592.0,30,Ready to Move,2 out of 5,1 Open,1,7000.0,7530000.0
4,1757.0,23,Poss. by May '26,5 out of 13,Unfurnished,East,3851.0,6770000.0
1,896.0,30,Ready to Move,1 out of 1,1,,8000.0,10000000.0
4,1566.0,30,Ready to Move,9 out of 12,Semi-Furnished,North - West,3321.0,5200000.0
1,1085.0,23,Poss. by Jan '25,7 out of 14,Unfurnished,South -West,3600.0,7100000.0
4,1680.0,23,Ready to Move,6 out of 13,Unfurnished,East,3512.0,5900000.0
4,702.0,35,Ready to Move,Resale,North,"Garden/Park, Main Road",12108.0,8500000.0
4,1644.0,23,Ready to Move,7 out of 14,Unfurnished,East,3551.0,5840000.0
4,1900.0,30,Ready to Move,7 out of 14,Unfurnished,South -West,2632.0,5000000.0
4,1845.0,30,Ready to Move,11 out of 14,Furnished,East,4661.0,8600000.0
1,715.0,30,Ready to Move,7 out of 13,Furnished,East,4815.0,6500000.0
4,1872.0,23,Poss. by Mar '25,7 out of 13,Unfurnished,East,4545.0,8510000.0
1,763.0,30,Ready to Move,9 out of 12,Furnished,East,6839.0,9500000.0
2,75.0,30,48 X 14,Co-operative Society,Congo,2,113333.0,8500000.0
4,1980.0,30,Ready to Move,8 out of 12,Unfurnished,East,4545.0,9000000.0
1,800.0,15,Poss. by Oct '24,New Property,East,"Garden/Park, Pool",5456.0,5500000.0
4,1625.0,30,Ready to Move,7 out of 13,Unfurnished,South -West,3692.0,6000000.0
1,810.0,35,Ready to Move,Resale,East,"Garden/Park, Main Road",,9500000.0
1,1450.0,30,Ready to Move,7 out of 8,Semi-Furnished,North - East,5172.0,7500000.0
4,1290.0,23,Poss. by Jul '24,6 out of 12,Unfurnished,East,4403.0,5680000.0
4,1351.0,23,Poss. by Nov '24,7 out of 13,Unfurnished,East,4145.0,5600000.0
4,1900.0,30,Ready to Move,10 out of 10,Unfurnished,East,3158.0,6000000.0
4,2000.0,30,Ready to Move,8 out of 13,Unfurnished,East,5000.0,10000000.0
1,1600.0,30,Ready to Move,1 out of 14,Semi-Furnished,North,3467.0,7800000.0
1,904.0,23,Ready to Move,9 out of 13,Unfurnished,North - East,4860.0,7990000.000000001
4,1715.0,23,Poss. by Dec '24,5 out of 13,Unfurnished,East,4898.0,8400000.0
4,1700.0,30,Ready to Move,8 out of 13,Furnished,South -West,3235.0,5500000.0
1,1160.0,30,Ready to Move,2 out of 12,Furnished,East,5484.0,8500000.0
4,1890.0,30,Ready to Move,1 out of 14,Furnished,East,4815.0,9100000.0
1,3000.0,30,Ready to Move,Ground out of 2,Furnished,East,1620.0,8100000.0
4,440.0,30,Ready to Move,Ground out of 3,100 Covered,,15502.0,6820000.0
1,1000.0,30,Poss. by Oct '24,8 out of 13,Unfurnished,East,4898.0,8400000.0
4,1274.0,23,Ready to Move,5 out of 12,Unfurnished,East,4062.0,5180000.0
4,1400.0,23,Poss. by Jun '24,6 out of 13,Unfurnished,East,4600.0,6440000.000000001
1,900.0,30,Ready to Move,5 out of 13,Unfurnished,East,4331.0,5500000.0
4,1515.0,30,Ready to Move,3 out of 5,Semi-Furnished,Shreepad Ethics,3960.0,6000000.0
4,1294.0,30,Poss. by Dec '24,4 out of 13,Unfurnished,East,4946.0,6400000.0
4,1251.0,30,Ready to Move,10 out of 14,Unfurnished,East,4157.0,5200000.0
1,701.0,23,Ready to Move,12 out of 13,Unfurnished,East,4627.0,5900000.0
4,462.0,30,Ready to Move,Ground out of 5,,,11255.0,5200000.0
1,1450.0,30,Ready to Move,6 out of 13,Semi-Furnished,East,3824.0,6500000.0
4,1811.0,23,Poss. by Apr '25,7 out of 14,Unfurnished,South -West,3534.0,6400000.0
4,1851.0,30,Ready to Move,12 out of 12,Furnished,East,3836.0,7100000.0
4,614.0,30,Ready to Move,1 out of 1,1,,10586.0,6500000.0
4,2400.0,23,Ready to Move,8 out of 9,Semi-Furnished,"Garden/Park, Main Road",3750.0,9000000.0
4,1800.0,30,Ready to Move,2 out of 2,Semi-Furnished,3,3153.0,5680000.0
1,1455.0,30,Ready to Move,1 out of 10,Unfurnished,"Garden/Park, Main Road",3643.0,5300000.0
4,1700.0,18,Ready to Move,Resale,,,5059.0,8600000.0
4,1300.0,30,Ready to Move,5 out of 13,Furnished,East,3846.0,5000000.0
4,1500.0,30,Ready to Move,6 out of 9,Unfurnished,3,4533.0,6800000.0
4,2097.0,35,Poss. by Feb '26,New Property,Sangini Epitome,3,4750.0,9960000.0
4,1328.0,33,New Property,Unfurnished,2,2,4250.0,5640000.0
4,1651.0,35,Poss. by Dec '24,New Property,Santvan Lexon,3,4100.0,6770000.0
4,1751.0,23,Poss. by May '26,7 out of 13,Unfurnished,East,4351.0,7620000.0
4,1818.0,23,Poss. by Apr '25,5 out of 13,Unfurnished,East,5500.0,10000000.0
1,750.0,23,Poss. by Apr '25,8 out of 14,Unfurnished,East,4035.0,5500000.0
1,1000.0,23,Poss. by May '25,6 out of 14,Unfurnished,East,4579.0,8700000.0
1,1827.0,35,Poss. by May '25,New Property,East,"Garden/Park, Main Road",,8850000.0
4,2065.0,23,Poss. by Apr '25,6 out of 13,Unfurnished,East,4751.0,9810000.0
1,957.0,23,Ready to Move,15 out of 21,"2 Covered,",1,3998.0,7659999.999999999
1,1100.0,23,Poss. by Feb '25,4 out of 14,Unfurnished,East,4551.0,8740000.0
1,948.0,23,Poss. by May '25,7 out of 14,Unfurnished,East,4290.0,7400000.0
4,2063.0,23,Poss. by Dec '26,3 out of 13,Unfurnished,East,4750.0,9800000.0
4,1325.0,23,Poss. by Feb '25,5 out of 13,Unfurnished,South -West,4600.0,6100000.0
1,1100.0,30,Poss. by Dec '24,9 out of 13,Unfurnished,South -West,3831.0,6800000.0
1,2200.0,35,Poss. by Jul '24,New Property,North - East,"Garden/Park, Main Road",,7150000.0
4,1820.0,30,Ready to Move,1 out of 1,Furnished,East,3846.0,7000000.0
4,1859.0,23,Ready to Move,12 out of 14,Unfurnished,East,4554.0,8470000.0
1,860.0,35,Ready to Move,New Property,East,Main Road,4200.0,6020000.0
4,1616.0,23,Ready to Move,5 out of 14,Unfurnished,South -West,4000.0,6459999.999999999
4,1738.0,30,Ready to Move,13 out of 13,Furnished,North - East,3510.0,6100000.0
4,1890.0,30,Ready to Move,8 out of 12,Unfurnished,South -West,4762.0,9000000.0
4,1889.0,23,Ready to Move,6 out of 13,Unfurnished,South -West,4251.0,8030000.0
2,981.0,23,45.5 X 21.56,Freehold,1,2,9684.0,9500000.0
4,2111.0,23,Poss. by Nov '25,5 out of 12,Unfurnished,South -West,4250.0,8970000.0
4,1275.0,23,Poss. by Aug '25,5 out of 13,Unfurnished,East,4051.0,5170000.0
1,1057.0,30,Ready to Move,7 out of 10,Semi-Furnished,East,4062.0,6600000.0
4,1755.0,30,Ready to Move,8 out of 14,Unfurnished,East,4558.0,8000000.0
4,1445.0,30,Ready to Move,14 out of 14,Unfurnished,East,3599.0,5200000.0
4,1652.0,23,Ready to Move,6 out of 13,Unfurnished,East,3329.0,5500000.0
4,1726.0,30,Ready to Move,6 out of 15,Unfurnished,East,3900.0,6730000.0
4,1960.0,30,Ready to Move,5 out of 14,Unfurnished,South -West,3900.0,7640000.000000001
2,810.0,30,60 X 120,Freehold,3,2,9012.0,7300000.0
1,1000.0,30,Ready to Move,7 out of 13,Semi-Furnished,North - West,4800.0,8500000.0
4,1322.0,23,Poss. by Sep '24,7 out of 13,Unfurnished,East,4160.0,5500000.0
1,630.0,23,Poss. by Nov '24,10 out of 11,1 Covered,1,6790.0,7780000.0
4,1919.0,30,Ready to Move,7 out of 12,Unfurnished,East,4690.0,9000000.0
1,751.0,30,Ready to Move,5 out of 13,Furnished,East,4372.0,5500000.0
0,2331.0,38,Resale,,,,2488.0,5800000.0
2,100.0,3,Power Of Attorney,Resale,10 m,"Garden/Park, Main Road",80000.0,8000000.0
4,1745.0,23,Poss. by Jul '24,4 out of 13,Unfurnished,East,4401.0,7680000.0
4,1960.0,30,Ready to Move,6 out of 13,Furnished,South -West,3827.0,7500000.0
1,1175.0,30,Ready to Move,1 out of 5,Furnished,East,4701.0,8650000.0
4,1944.0,15,Ready to Move,Resale,East,"Garden/Park, Main Road",4372.0,8500000.0
2,828.0,8,Freehold,Resale,2,20 m,6643.0,5500000.0
1,720.0,23,Ready to Move,11 out of 13,Unfurnished,North - East,4798.0,6280000.0
4,1774.0,23,Ready to Move,3 out of 5,Unfurnished,East,4735.0,8400000.0
4,1770.0,30,Ready to Move,5 out of 12,Furnished,East,4802.0,8500000.0
1,980.0,30,Ready to Move,6 out of 12,Unfurnished,East,4202.0,5500000.0
4,1250.0,30,Ready to Move,8 out of 12,Furnished,East,4681.0,5850000.0
4,1080.0,38,Ready to Move,Resale,,,6251.0,6750000.0
4,1275.0,23,Poss. by Jul '24,7 out of 12,Unfurnished,East,4051.0,5170000.0
4,1294.0,30,Poss. by Dec '24,4 out of 13,Unfurnished,East,5255.0,6800000.0
4,1385.0,23,Ready to Move,4 out of 13,Unfurnished,East,3610.0,5000000.0
1,688.0,23,Ready to Move,2 out of 13,Unfurnished,East,3994.0,5000000.0
4,1250.0,23,Ready to Move,7 out of 12,Semi-Furnished,East,4400.0,5500000.0
1,1000.0,30,Ready to Move,4 out of 12,Unfurnished,West,4727.0,7800000.0
1,1550.0,30,Ready to Move,6 out of 9,Semi-Furnished,3,,7500000.0
4,2050.0,23,Poss. by Jul '24,7 out of 13,Unfurnished,East,4600.0,9430000.0
4,2061.0,35,Poss. by Mar '25,New Property,Sattvam,3,4600.0,9480000.0
4,1586.0,26,New Property,Unfurnished,3,3,3751.0,5950000.0
4,1296.0,23,Poss. by Dec '25,6 out of 14,Unfurnished,East,4291.0,5560000.0
1,1134.0,23,Poss. by Feb '26,5 out of 13,Unfurnished,East,4750.0,9800000.0
1,1512.0,23,Poss. by Dec '25,1 out of 2,Unfurnished,East,3915.0,5920000.0
4,1307.0,23,Ready to Move,7 out of 14,Unfurnished,South -West,4250.0,5560000.0
1,1368.0,35,Poss. by Oct '24,New Property,East,"Pool, Garden/Park, Main Road",,5200000.0
4,1918.0,23,Poss. by Apr '25,6 out of 13,Unfurnished,South -West,3751.0,7190000.000000001
4,1365.0,23,Ready to Move,8 out of 14,Unfurnished,South -West,5128.0,7000000.0
1,1100.0,23,Poss. by Dec '24,4 out of 14,Unfurnished,East,4000.0,7209999.999999999
1,996.0,23,Poss. by Jun '25,6 out of 13,Unfurnished,East,4252.0,7700000.0
4,1351.0,35,5 out of 13,New Property,East,Garden/Park,4351.0,5880000.0
4,1825.0,23,Poss. by Feb '25,5 out of 13,Unfurnished,East,4646.0,8480000.0
1,950.0,30,Ready to Move,9 out of 13,Unfurnished,South -West,3517.0,5100000.0
1,2600.0,23,Poss. by Feb '26,2 out of 2,Unfurnished,North - East,,7500000.0
4,1715.0,23,Ready to Move,2 out of 13,Unfurnished,East,4665.0,8000000.0
1,970.0,35,Ready to Move,New Property,East,Main Road,5454.0,9520000.0
4,1295.0,23,Ready to Move,5 out of 14,Unfurnished,South -West,4300.0,5570000.0
4,1400.0,23,Poss. by Apr '25,5 out of 12,Unfurnished,East,4500.0,6300000.0
1,770.0,30,Ready to Move,11 out of 13,Unfurnished,East,3858.0,5100000.0
4,1311.0,23,Poss. by Oct '25,5 out of 12,Unfurnished,South -West,4250.0,5570000.0
1,720.0,23,Poss. by Jul '24,2 out of 13,Unfurnished,North,4851.0,6350000.0
4,1520.0,30,Ready to Move,3 out of 14,Unfurnished,East,4145.0,6300000.0
4,1246.0,30,Ready to Move,5 out of 13,Furnished,East,4013.0,5000000.0
4,1950.0,30,Ready to Move,6 out of 14,Unfurnished,East,3641.0,7100000.0
4,1800.0,23,Ready to Move,4 out of 13,Unfurnished,East,4389.0,7900000.0
4,1857.0,30,Ready to Move,4 out of 15,Unfurnished,East,3904.0,7250000.0
1,1500.0,30,Ready to Move,12 out of 13,Furnished,East,4049.0,9500000.0
1,750.0,23,Ready to Move,4 out of 14,Furnished,South -West,3941.0,5300000.0
4,2070.0,23,Poss. by Mar '25,6 out of 13,Unfurnished,East,4750.0,9830000.0
4,2100.0,30,Ready to Move,10 out of 12,Furnished,East,4714.0,9900000.0
4,1200.0,30,Ready to Move,3 out of 5,Unfurnished,East,4167.0,5000000.0
1,1020.0,23,Poss. by Jan '26,9 out of 14,Unfurnished,East,3749.0,6940000.000000001
0,2205.0,38,Resale,,,,2494.0,5500000.0
4,1750.0,23,Poss. by Sep '24,4 out of 13,Unfurnished,East,3751.0,6559999.999999999
1,1100.0,30,Ready to Move,6 out of 9,Semi-Furnished,East,4587.0,7500000.0
2,837.0,28,Freehold,Resale,Yes,,7288.0,6100000.0
1,1200.0,30,Ready to Move,1 out of 5,Furnished,East,,8650000.0
4,1668.0,30,Ready to Move,5 out of 13,Furnished,East,4496.0,7500000.0
4,1203.0,23,Ready to Move,6 out of 13,Unfurnished,South -West,4364.0,5250000.0
1,750.0,23,Ready to Move,6 out of 13,Unfurnished,North - East,4804.0,6250000.0
4,1385.0,23,Poss. by Nov '24,1 out of 7,Unfurnished,North,4751.0,6580000.0
1,800.0,30,Ready to Move,5 out of 7,Furnished,East,4167.0,5000000.0
4,1802.0,23,Poss. by Oct '24,6 out of 12,Unfurnished,East,3552.0,6400000.0
4,1275.0,23,Poss. by Oct '25,4 out of 12,Unfurnished,East,3991.0,5090000.0
1,1179.0,30,Ready to Move,1 out of 12,Unfurnished,East,4666.0,10000000.0
4,1360.0,30,Ready to Move,6 out of 12,Furnished,East,5000.0,6800000.0
1,933.0,23,Ready to Move,5 out of 13,Unfurnished,East,4661.0,7900000.0
4,1252.0,23,Ready to Move,7 out of 12,Unfurnished,East,3994.0,5000000.0
1,1750.0,30,Ready to Move,10 out of 12,Furnished,East,,10000000.0
4,1311.0,35,Poss. by Dec '24,New Property,Pramukh Amaya,2,4251.0,5570000.0
1,759.0,30,Poss. by Sep '26,8 out of 13,Unfurnished,East,5430.0,7490000.000000001
4,1847.0,23,Poss. by Dec '25,8 out of 14,Unfurnished,East,4293.0,7930000.0
4,1400.0,23,Poss. by Jun '25,5 out of 13,Unfurnished,East,4500.0,6300000.0
4,1400.0,23,Poss. by Mar '25,6 out of 12,Unfurnished,South -West,4500.0,6300000.0
2,1080.0,14,Freehold,Resale,2,15 m,9074.0,9800000.0
1,1638.0,35,Poss. by Apr '25,New Property,East,Main Road,,5350000.0
4,1283.0,23,Poss. by Apr '25,6 out of 13,Unfurnished,South -West,4551.0,5840000.0
4,1775.0,23,Ready to Move,10 out of 14,Unfurnished,South -West,5127.0,9100000.0
1,950.0,23,Poss. by Dec '24,4 out of 14,Unfurnished,East,3999.0,6600000.0
1,942.0,23,Poss. by May '25,Lower Basement out of 14,Unfurnished,East,3451.0,5920000.0
4,1751.0,35,8 out of 13,New Property,East,"Garden/Park, Main Road",4351.0,7620000.0
4,1315.0,23,Poss. by Nov '24,6 out of 13,Unfurnished,East,3991.0,5250000.0
1,1100.0,30,Ready to Move,12 out of 15,Unfurnished,South -West,3766.0,6500000.0
1,2500.0,35,Poss. by Jul '24,New Property,North - East,Main Road,,8550000.0
4,1715.0,23,Poss. by Oct '24,10 out of 13,Unfurnished,East,4781.0,8200000.0
1,885.0,35,Ready to Move,New Property,East,Garden/Park,4300.0,6540000.000000001
4,1745.0,23,Poss. by Dec '24,5 out of 14,Unfurnished,South -West,4351.0,7590000.000000001
4,1840.0,30,Ready to Move,9 out of 12,Unfurnished,East,4511.0,8300000.0
1,922.0,23,Ready to Move,7 out of 13,Unfurnished,South -West,3301.0,5530000.0
4,1902.0,23,Ready to Move,5 out of 10,Unfurnished,South -West,5100.0,9700000.0
4,413.0,30,Ready to Move,Ground out of 5,1 Open,,15496.0,6400000.0
4,1180.0,30,Ready to Move,5 out of 13,Furnished,Garden/Park,5508.0,6500000.0
4,1857.0,30,Ready to Move,5 out of 14,Unfurnished,East,4066.0,7550000.0
4,1500.0,30,Ready to Move,8 out of 14,Unfurnished,East,3667.0,5500000.0
4,1950.0,23,Ready to Move,5 out of 12,Unfurnished,East,4308.0,8400000.0
4,1251.0,30,Ready to Move,5 out of 13,Semi-Furnished,South -West,4556.0,5700000.0
1,720.0,30,Ready to Move,9 out of 12,Furnished,East,4308.0,5600000.0
4,1857.0,23,Poss. by Dec '24,10 out of 13,Unfurnished,East,3800.0,7059999.999999999
4,1850.0,23,Poss. by Mar '25,7 out of 13,Unfurnished,East,4651.0,8600000.0
4,1850.0,30,Ready to Move,3 out of 12,Furnished,East,5027.0,9300000.0
4,2164.0,23,Poss. by Dec '25,7 out of 12,Unfurnished,East,4321.0,9350000.0
4,954.0,35,Ready to Move,Resale,East,"Garden/Park, Main Road",8910.0,8500000.0
2,900.0,8,Freehold,Resale,2,20 m,7444.0,6700000.0
4,1522.0,23,Ready to Move,5 out of 13,Unfurnished,East,4001.0,6090000.0
4,1299.0,30,Ready to Move,9 out of 11,Semi-Furnished,East,4311.0,5600000.0
1,830.0,30,Ready to Move,11 out of 12,Semi-Furnished,East,,5500000.0
4,1850.0,30,Ready to Move,1 out of 7,Furnished,East,3784.0,7000000.0
4,2255.0,23,Ready to Move,6 out of 13,Unfurnished,South -West,3459.0,7800000.0
1,867.0,23,Ready to Move,7 out of 13,Unfurnished,North - East,4822.0,7600000.0
4,2060.0,23,Poss. by Nov '24,5 out of 7,Unfurnished,East,4440.0,9150000.0
4,1283.0,30,Ready to Move,4 out of 8,Furnished,South -West,5066.0,6500000.0
4,1620.0,23,Ready to Move,11 out of 14,Unfurnished,East,3580.0,5800000.0
4,1275.0,23,Poss. by Oct '25,5 out of 12,Unfurnished,East,3991.0,5090000.0
1,1179.0,30,Ready to Move,11 out of 12,Unfurnished,East,4620.0,9900000.0
4,1609.0,30,Ready to Move,1 out of 13,Semi-Furnished,East,3543.0,5700000.0
1,1495.0,30,Ready to Move,7 out of 13,Unfurnished,East,3696.0,8500000.0
4,1811.0,23,Ready to Move,6 out of 14,Unfurnished,South - East,3589.0,6500000.0
1,1250.0,30,Ready to Move,11 out of 12,Unfurnished,East,4869.0,9500000.0
4,1811.0,35,Poss. by Dec '24,New Property,Pramukh Amaya,3,4251.0,7700000.0
4,2111.0,35,Poss. by Dec '24,New Property,Pramukh Amaya,3,4251.0,8970000.0
1,1035.0,23,Poss. by Jun '25,9 out of 14,Unfurnished,East,4600.0,8650000.0
4,1800.0,23,Poss. by Mar '26,6 out of 14,Unfurnished,East,3300.0,5940000.0
4,1345.0,23,Poss. by Mar '25,6 out of 12,Unfurnished,South -West,4500.0,6050000.0
2,900.0,14,Freehold,Resale,2,12 m,10556.0,9500000.0
1,1520.0,35,Poss. by Aug '24,New Property,East,"Garden/Park, Main Road",,5800000.0
4,1881.0,23,Poss. by Apr '25,7 out of 13,Unfurnished,South -West,4575.0,8610000.0
4,1755.0,30,Ready to Move,3 out of 12,Unfurnished,East,5698.0,10000000.0
1,950.0,23,Poss. by Dec '24,4 out of 14,Unfurnished,East,3999.0,6170000.0
1,1021.0,23,Poss. by Jul '25,3 out of 3,Unfurnished,East,3800.0,7059999.999999999
4,1900.0,35,7 out of 13,New Property,East,"Garden/Park, Main Road",4550.0,8650000.0
4,1891.0,23,Poss. by Sep '24,5 out of 13,Unfurnished,North - East,4750.0,8980000.0
1,951.0,30,Ready to Move,15 out of 15,Unfurnished,South -West,3846.0,5100000.0
1,1600.0,23,Ready to Move,Ground out of 2,Unfurnished,North - East,,5800000.0
4,1994.0,30,Ready to Move,5 out of 14,Unfurnished,South -West,4444.0,8860000.0
1,930.0,35,Ready to Move,New Property,East,Main Road,4100.0,6780000.0
4,1757.0,23,Poss. by Aug '24,6 out of 13,Unfurnished,East,3682.0,6470000.0
4,1962.0,23,Ready to Move,10 out of 13,Unfurnished,East,5097.0,10000000.0
4,1775.0,23,Ready to Move,5 out of 14,Unfurnished,South -West,5100.0,9050000.0
1,200.0,30,Ready to Move,Ground out of 4,1 Open,,14500.0,5800000.0
1,943.0,30,Poss. by Jul '24,6 out of 13,Unfurnished,East,4898.0,8400000.0
1,961.0,30,Ready to Move,5 out of 14,Unfurnished,East,4100.0,6790000.000000001
4,1850.0,30,Ready to Move,10 out of 12,Unfurnished,East,5135.0,9500000.0
1,960.0,23,Ready to Move,6 out of 13,Unfurnished,East,4500.0,7200000.0
4,1650.0,23,Ready to Move,13 out of 14,Unfurnished,North,3818.0,6300000.0
4,1811.0,23,Poss. by Mar '25,6 out of 13,Unfurnished,East,4751.0,8600000.0
4,1252.0,30,Ready to Move,5 out of 14,Unfurnished,East,4073.0,5100000.0
4,1258.0,23,Ready to Move,8 out of 13,Furnished,East,4102.0,5160000.0
4,648.0,35,Ready to Move,Resale,East,"Garden/Park, Main Road",10031.0,6500000.0
2,990.0,8,Freehold,Resale,2,20 m,6869.0,6800000.0
4,1775.0,23,Poss. by Jun '25,5 out of 13,Unfurnished,East,3803.0,6750000.0
4,1660.0,30,Ready to Move,9 out of 13,Semi-Furnished,East,3614.0,6000000.0
4,702.0,30,Ready to Move,1 out of 1,Furnished,West,13533.0,9500000.0
