facing,price_per_sqft,BHK,Location,area_type,area_sqft,transaction_type,ready_to_move,furnishing_level,price_rs
12,3571.0,2.0,Raj Sambhav Apparent Surat,2,1400.0,2,1,0,5000000.0
12,2714.0,1.0,Pal Gam Surat,2,700.0,2,1,0,1900000.0
54,3429.0,1.0,suman ashish Surat,1,3.0,2,1,0,1200000.0
0,2000.0,1.0,Adajan Surat,2,650.0,2,1,0,1300000.0
12,2174.0,2.0,Nana Varachha Surat,2,1150.0,2,1,1,2500000.0
12,2588.0,2.0,Sonifaliya Surat,2,850.0,2,1,1,2200000.0
0,1444.0,2.0,Sachin Surat,2,900.0,2,1,1,1300000.0
0,2747.0,2.0,Udhna Surat,2,910.0,2,1,0,2500000.0
12,3250.0,2.0,Pandesara Surat,2,800.0,2,1,0,2600000.0
0,1735.0,1.0,Kadodar Surat,2,490.0,2,1,0,850000.0
0,2500.0,1.0,Kamrej Surat,2,400.0,2,1,1,1000000.0
-1,4167.0,2.0,Adajan Surat,2,960.0,0,0,0,4000000.0
97,3750.0,2.0,Palanpur Gam Surat,2,1200.0,2,1,0,4500000.0
12,3896.0,2.0,Adajan Surat,2,1150.0,2,1,0,4480000.0
12,1786.0,3.0,Olpad Sayan Road Surat,2,1400.0,2,1,1,2500000.0
19,3086.0,3.0,Ganeshpura Surat,2,1296.0,2,1,1,4000000.0
60,3030.0,2.0,Kadodara Surat,1,650.0,0,1,0,2000000.0
97,3838.0,2.0,Varachha Surat,2,990.0,2,1,0,3800000.0
54,4005.0,2.0,Surat,2,1161.0,2,1,1,4650000.0
83,2778.0,2.0,Udhana Surat,2,432.0,0,1,0,1200000.0
0,1998.0,1.0,Dindoli Surat,2,801.0,2,1,0,1600000.0
12,3200.0,2.0,Palanpur Surat,2,1092.0,1,0,0,3490000.0
156,3529.0,2.0,Pal Gam Surat,1,1000.0,2,1,0,4500000.0
59,3994.0,3.0,santeria Marie gold Surat,2,100.0,0,1,0,3600000.0
54,2500.0,2.0,Gopi Pura Surat,2,1000.0,2,1,0,2500000.0
173,3968.0,1.0,Dindoli Surat,2,504.0,2,1,0,2000000.0
